EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type, sgrb, r
3654414842682492416,346.809323,55.672304,62.81,3.444,59.0,2.071,-0.9012,0.0724,0.2038,0.0736,-0.1261,0.998,KGiant,-1.9,58.692525077730295
3700375944848467968,289.826002,64.007984,37.17,4.311,38.9,1.469,-1.131,0.0555,-0.8306,0.0433,-0.0924,0.959,KGiant,11.54,36.887184766528335
3691737734823419392,317.594268,65.168784,45.7,3.114,29.2,1.252,-1.3893,0.0629,-0.2005,0.0515,-0.6318,1.0,KGiant,4.75,43.86513991770686
3715760105385197568,318.481364,65.123822,43.46,2.819,63.7,1.159,-1.195,0.056,-0.3725,0.055,-0.5195,0.924,KGiant,4.53,41.62977420068478
3711689094863706112,328.922073,62.389452,51.18,3.076,38.9,1.485,-1.2853,0.0467,-0.1068,0.0351,-0.4607,1.0,KGiant,2.9,48.514352515518546
3664821209138916352,333.162028,60.972846,49.04,3.831,23.8,1.31,-1.2555,0.0603,0.0053,0.043,-0.4499,0.999,KGiant,2.07,46.0847111306993
3665660411388748800,336.497819,62.048927,50.25,2.799,39.7,1.295,-1.0487,0.0551,0.0392,0.044,-0.4704,0.95,KGiant,0.15,47.309602619341454
3661211306306655232,339.215876,58.938267,51.74,4.105,27.0,1.643,-1.2466,0.0633,0.1492,0.0532,-0.3544,0.999,KGiant,0.48,48.313134859994335
3666510265157580800,347.013236,56.379032,54.11,3.037,51.0,1.44,-1.1355,0.0566,0.2392,0.0546,-0.2077,0.999,KGiant,-2.26,50.14771280925981
3668018481577937408,346.552577,59.465813,47.11,3.54,-5.1,1.427,-1.1739,0.0688,0.2799,0.0688,-0.197,0.99,KGiant,-3.15,43.64169336769599
1157895974384683520,359.186734,53.261175,48.56,2.862,4.3,1.424,-1.0707,0.0436,0.5342,0.0472,-0.0617,0.976,KGiant,-8.1,44.120735487976624
3265893067454552064,181.741489,-45.245919,24.04,3.453,-125.0,1.939,1.4732,0.0676,-1.1909,0.0689,0.1774,0.953,KGiant,8.17,30.441256544367544
3266293388471043584,179.232141,-47.983044,20.9,2.499,-152.4,1.51,1.7423,0.0684,-1.6656,0.0611,0.215,0.97,KGiant,7.03,27.150141804417892
2500093006938930688,169.374791,-54.150152,26.07,4.909,-158.7,2.121,1.4572,0.0817,-2.2922,0.0801,0.1861,0.993,KGiant,2.75,31.567681257894126
2499949009570468352,167.86835,-54.931409,25.46,4.285,-153.8,4.424,1.3108,0.1075,-2.2661,0.0994,0.1707,0.998,KGiant,2.19,30.874601211999483
2501154344897096192,164.438196,-54.549092,29.71,5.371,-155.5,2.853,1.1253,0.1172,-1.836,0.1182,0.2547,0.997,KGiant,0.21,35.007760568194016
2494711687794499072,164.631498,-56.233459,37.81,8.889,-134.0,4.293,0.8708,0.1757,-1.6719,0.1756,0.2471,0.976,KGiant,0.98,42.80956084801618
2506528242338061312,160.744892,-57.812264,24.66,2.974,-138.1,1.3,0.8407,0.0727,-1.6808,0.0703,0.2665,0.941,KGiant,-0.28,29.690815078067494
2507240352210589184,160.675621,-56.759708,25.36,4.362,-149.1,1.6,0.9346,0.0769,-2.3207,0.0672,0.2988,0.998,KGiant,-0.78,30.472426880706436
2507057352244032000,161.286462,-56.490606,25.79,3.786,-140.5,1.408,1.0272,0.0933,-1.8383,0.0893,0.3519,0.997,KGiant,-0.6,30.9297575160233
2509707828102123520,145.969335,-61.485339,25.51,2.553,-147.8,0.949,0.4064,0.0415,-2.4129,0.0261,0.4855,1.0,KGiant,-4.55,29.766030974921733
2558354929798908928,141.738692,-60.40227,25.35,2.894,-164.7,1.814,0.121,0.0644,-2.534,0.0345,0.5763,0.999,KGiant,-6.81,29.54994923853508
2535186982851084288,138.513761,-60.64251,18.31,3.326,-169.0,2.101,0.1602,0.103,-2.7879,0.0777,0.5447,0.938,KGiant,-7.77,22.688494881767717
2738366698621495296,99.533115,-59.680565,25.44,5.0,-162.799,4.19,-2.6601,0.1486,-2.4779,0.1028,-0.1674,0.957,KGiant,-16.69,27.39048557437418
2545270707069892608,106.280958,-61.869714,17.7,2.522,-163.499,1.508,-2.1024,0.1343,-2.6392,0.0669,-0.3582,0.938,KGiant,-14.01,20.496489943402505
2549078315835891200,120.331092,-62.284471,26.18,4.035,-172.099,2.665,-1.1021,0.1097,-2.664,0.0953,0.3847,0.988,KGiant,-11.42,29.243548006355176
2542966783532818944,117.059474,-62.871604,27.01,4.82,-155.299,3.587,-1.0593,0.1272,-2.5124,0.1188,0.4041,0.985,KGiant,-11.52,29.83338733700885
2544297811078467072,113.549793,-61.315268,19.49,2.856,-171.299,1.929,-1.6932,0.1131,-2.9912,0.0853,0.4635,0.988,KGiant,-13.57,22.5823581585272
2542484024912771072,115.221501,-63.655418,24.51,8.329,-144.899,5.513,-1.1772,0.1444,-2.6283,0.1081,0.2766,0.905,KGiant,-11.11,27.293504721819804
2543580963856397312,111.880993,-62.458051,30.61,4.67,-162.699,2.692,-1.5355,0.1281,-2.5552,0.1023,0.3167,0.983,KGiant,-12.75,33.03776475489829
2500680008708860928,165.9245,-55.554897,25.98,5.737,-156.5,2.102,1.146,0.1238,-1.6669,0.1096,0.2037,0.987,KGiant,1.39,31.28545189061523
2494703033435768832,164.535592,-56.440146,30.35,4.483,-155.2,1.987,1.2858,0.1358,-1.7471,0.123,0.2248,0.995,KGiant,1.01,35.4517897996702
2642590542827474944,88.325527,-58.486846,22.08,3.824,-173.299,2.23,-3.2017,0.0927,-2.1427,0.073,-0.1986,0.983,KGiant,-17.91,23.443491634140166
2541907266640638976,109.918581,-63.372905,20.88,2.956,-157.199,1.528,-1.4215,0.0583,-2.6863,0.043,0.0732,0.992,KGiant,-12.14,23.59893429797202
