EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type
3830749024282130432,244.189288,44.014217,42.35,9.054,43.698,2.566,-6.6536,0.1691,-8.9651,0.1883,0.332,0.573,KGiant
3794153154141927424,268.342597,56.927061,18.78,4.374,147.0,3.842,-0.1494,0.0844,-2.9402,0.0764,0.0647,0.0,KGiant
3696323419866199040,296.749627,63.651655,19.17,4.494,122.7,6.411,-2.4946,0.1253,-3.3473,0.1032,-0.5207,0.0,KGiant
3689059354562197504,310.123788,62.026082,16.05,4.129,-169.501,4.684,-3.5427,0.1171,-0.9374,0.0865,-0.6581,0.968,KGiant
3662290988069621248,329.782101,59.617644,34.38,6.701,86.5,4.602,-1.265,0.2056,-0.4749,0.1651,-0.428,0.0,KGiant
3660547304362743808,337.57584,57.989784,6.69,1.644,-99.099,2.527,-0.9228,0.0424,-3.0504,0.0348,-0.2111,0.0,KGiant
3654414842682492416,346.809323,55.672304,62.81,3.444,59.0,2.071,-0.9012,0.0724,0.2038,0.0736,-0.1261,0.998,KGiant
3654841624993130496,352.599618,52.852305,40.04,7.283,2.4,4.128,-1.1821,0.1242,0.545,0.1236,-0.2426,0.799,KGiant
3698359096925479424,283.801394,61.433376,30.51,10.805,-13.4,8.215,-1.0028,0.2187,-1.1191,0.1638,0.0905,0.808,KGiant
3794285301696130048,273.722983,56.977863,31.01,6.28,30.8,5.096,0.5337,0.1513,-0.9759,0.1159,0.4248,0.0,KGiant
1030278369872805760,164.747169,37.273062,24.56,6.796,-29.9,3.632,0.5176,0.159,-2.135,0.1407,0.0785,0.0,KGiant
5181607395260572672,187.264194,-50.293392,21.19,4.042,41.9,5.977,2.7113,0.0776,0.4747,0.0746,-0.0749,0.0,KGiant
3844501539628778496,231.443121,35.583994,30.58,7.486,229.0,7.637,1.3533,0.1546,-1.0162,0.1715,0.2882,0.0,KGiant
